day,title,subtitle,daily_copy,number_story,visual_motif
1,"一号先来的人","法语里的 1 一旦有排位就不肯只当 un","1 号很法式的一点，是它一上台就 insist 自己叫 premier。法语对第一名的宠爱明显到连普通的一都不太甘心，只想抢个开场镜头。","法国楼层也有类似脾气: 地面层叫 rez-de-chaussée，所以上去第一层才叫 premier étage。1 在法语世界里经常不是最底下那个，而是那个已经往上走了一步的人。","台阶入口、门牌、微微抬高的一层楼"
2,"二号成双成对","有些数字天生适合坐在左岸咖啡馆里装默契","2 号适合成双出现，不一定是爱情，也可以是两杯咖啡、两句废话、两个谁也不先回消息的人。它不是热烈，是一种巴黎式的并排坐着。","巴黎有家著名咖啡馆叫 Les Deux Magots，名字里就先把 deux 摆出来。法语文化很懂两个人之间那种不必解释的气氛，数字 2 也因此常显得比 1 更会过日子。","双人卡座、并排咖啡杯、左岸窗景"
3,"三号凑够戏剧","法国人对 3 的态度是: 前两次都算彩排","3 号的妙处在于，一件事做两次像巧合，做三次 suddenly 有了文学结构。今天很适合认真迟到第三次，然后假装命运本来就这样安排。","法语里有句很顺口的话: jamais deux sans trois，意思是好事坏事往往到了第三次就成了系列。3 在法国语感里不是数字，是一种‘看吧我就知道’的口气。","三联画、第三只酒杯、幕布前的第三次敲门"
4,"四号平均主义","如果一个蛋糕能四等分，法国人会立刻原谅生活","4 号不像浪漫，更像秩序。它适合把情绪切成四块，把下午茶切成四块，把那些说不清的复杂心情切到刚好能端上桌。","法国有个很诚实的蛋糕叫 quatre-quarts，字面意思就是四个四分之一。黄油、糖、面粉、鸡蛋一人一票，谁也别想多占，这大概是甜点界最和平的数字政治。","四分蛋糕、方格桌布、银叉与瓷盘"
5,"五号暧昧时段","法语把偷来的傍晚都命名好了","5 号最适合发生在下班和晚饭之间。它不是正经安排，也不是彻底放纵，就是那种‘我只是顺路喝一杯’的典型法式借口。","法语里著名的 cinq à sept，字面是五点到七点，实际却常被用来指婚外约会或不太方便解释的傍晚。一个数字能把时间段直接说成风流场景，说明法国人从不浪费语言。","黄昏酒吧、半开的百叶窗、手表停在 17:30"
6,"六号国家轮廓","有些数字天生就长得像地图","6 号的好笑之处在于，别的国家拿国旗做身份，法国偶尔直接拿形状。今天如果你感觉自己有点抽象，完全可以怪给 6。","法国常被昵称为 L'Hexagone，因为本土版图大致像六边形。于是 6 在法语文化里不只是数字，还是一整块地理自我认同，浪漫归浪漫，最后还是得先看地图。","六边形轮廓、旧地图、法兰西蓝白红边线"
7,"七号银幕派","法国人甚至把电影直接登记成第七艺术","7 号天生比别的数字更会摆姿态。它不急着解释，只想在黑暗里等灯灭、等银幕亮、等有人轻咳一声，像一场过度认真却又很迷人的开场。","法语里 cinéma 常被称为 le septième art，第七艺术。能把电影封到这么体面的位置，说明法国人对看电影这件事从来不只是娱乐，更像一场带票根的信仰活动。","老电影院、红丝绒座椅、银幕亮起前一秒"
8,"八号八个女人","法式悬疑里连数字都比别人更会穿戏服","8 号不适合简单，它更适合被安排进一栋大房子、几件皮草、几句漂亮的谎言里。今天最好别太坦白，留一点法式转身空间。","法国电影《8 Femmes》把 8 写得非常华丽: 八个女人，一屋秘密，人人会唱，人人有嫌疑。8 因此在法式审美里很像一枚珠宝盒数字，越对称越危险。","珠宝盒、八盏化妆灯、雪中的大宅"
9,"九号新旧不分","法语里的 neuf 一脚踩在九上，一脚踩在崭新上","9 号最妙的不是形状，而是它自带双重人格。你刚学会 neuf 是九，法国人转头又告诉你 une veste neuve 是一件新外套，像在故意测试你对暧昧的耐受度。","法语里 neuf 既是数字 9，也可以表示‘全新的’。一个词同时管年龄感和新鲜感，难怪法语总能把简单事情讲得像在绕一个小弯。","新皮鞋、数字牌、刚拆封的纸盒"
10,"十号及格主义","在法国 10 分不是优秀，是一种堂堂正正地过关","10 号很法式的一点，是它不追求满分，它追求合法存活。今天适合低空飞过，毕竟能把事情做完，已经比把事情做成诗更难。","法国评分常以 20 为满分，所以 10/20 就是标准及格线。也就是说，10 这个数字在法国教育语境里代表的不是光辉，而是‘行吧，过’，一种相当冷静的宽容。","成绩单、钢笔批注、被圈起的 10/20"
11,"十一号开始变怪","从 11 起，法语数数突然不想继续装规律了","11 号是一个分界点。前面的数字还像在排队，到 onze 这里，法语忽然换了语气，仿佛数到这里已经懒得继续演十进制的乖学生。","从 onze、douze、treize 到 seize，法语把 11 到 16 这一段处理得像一组性格古怪的亲戚。它们不按最省事的方式长大，说明法语的核心美德之一就是不图方便。","折返的走廊、手写数字卡、突然变调的节拍"
